job_id,job_role,experience_level,years_of_experience,education_level,skills,tools_and_technologies,certifications,industry,employment_type,location,company_size,annual_salary_usd,remote_friendly
1,AI Researcher,Entry,1,Bachelor's,"Deep Learning, SQL, Experimentation, Algorithm Design, PyTorch",JAX,,Robotics,Full-time,"Austin, TX",Large,90697,Hybrid
2,AI Researcher,Mid,3,Master's,"Communication, Scikit-learn, Publications, Python, SQL, Algorithm Design, Research, Deep Learning","JAX, SLURM, Weights & Biases",NeurIPS Paper,Tech,Full-time,"Chicago, IL",Large,142298,Yes
3,Quant Researcher,Mid,6,Master's,"R, Derivatives Pricing, Mathematics, Risk Modeling, Statistics, Stochastic Calculus","KDB+, R, Python",CFA Level I,Banking,Remote,"London, UK",Large,139116,Yes
4,AI Researcher,Mid,2,PhD,"Publications, LaTeX, Python, Data Analysis, Algorithm Design","Overleaf, PyTorch, JAX",,Finance,Full-time,"Atlanta, GA",Startup,144867,No
5,ML Engineer,Mid,5,Bachelor's,"SQL, Python, Visualization, PyTorch, Cloud (AWS/GCP/Azure), Machine Learning","TensorFlow, Docker, PyTorch",GCP Professional ML,Finance,Full-time,"Dublin, Ireland",Mid-size,158956,Hybrid
6,Data Scientist,Mid,5,PhD,"Machine Learning, Deep Learning, Pandas, SQL, Git, Feature Engineering",Spark,Google Professional ML Engineer,Retail,Full-time,"New York, NY",Large,102507,Hybrid
7,Data Analyst,Entry,1,Bachelor's,"Python, Visualization, Business Intelligence, SQL, Pandas, Cloud (AWS/GCP/Azure)","Tableau, Power BI",,Education,Full-time,"New York, NY",Large,66010,Yes
8,Data Scientist,Mid,2,PhD,"Machine Learning, Pandas, Statistics, Excel, SQL, Python, Feature Engineering",MLflow,Google Professional ML Engineer,Finance,Contract,"Bangalore, India",Large,116403,No
9,Data Scientist,Mid,6,Bachelor's,"Storytelling, SQL, Feature Engineering, Statistics, A/B Testing","Jupyter, scikit-learn",Google Professional ML Engineer,Insurance,Full-time,"San Francisco, CA",Mid-size,97058,Yes
10,Data Scientist,Mid,5,Master's,"Statistics, Storytelling, Pandas, Cloud (AWS/GCP/Azure), Machine Learning","scikit-learn, Spark, Jupyter",AWS ML Specialty,Insurance,Full-time,"San Francisco, CA",Large,137348,No
11,NLP Engineer,Senior,13,PhD,"Tokenization, Linux, Python, Problem Solving, BERT, Hugging Face, Transformers",FastAPI,DeepLearning.AI NLP,E-commerce,Full-time,"Dublin, Ireland",Large,218504,No
12,ML Engineer,Entry,2,Bachelor's,"Docker, PyTorch, Python, Deep Learning, Kubernetes, Scikit-learn, CI/CD",TensorFlow,AWS ML Specialty,Tech,Contract,"San Francisco, CA",Large,106124,Hybrid
13,Data Engineer,Mid,6,Bachelor's,"Data Analysis, SQL, Hadoop, ETL, Visualization, Pipeline Design, Python","dbt, Airflow",GCP Professional Data Engineer,Tech,Full-time,Remote,Startup,148081,Yes
14,Data Analyst,Senior,7,Bachelor's,"Tableau, SQL, Visualization, Linux, Statistics, Excel, Data Cleaning",Power BI,Tableau Desktop Specialist,Education,Full-time,"Denver, CO",Startup,132872,Hybrid
15,NLP Engineer,Mid,4,PhD,"Deep Learning, NLP, Git, Hugging Face, Python, Tokenization, BERT, Transformers","NLTK, FastAPI, Hugging Face",Hugging Face Course,Tech,Full-time,"Seattle, WA",Large,123132,Hybrid
16,Data Engineer,Mid,4,PhD,"Mathematics, Airflow, Python, ETL, SQL, Cloud (AWS/GCP/Azure), Communication","Kafka, Redshift, dbt",GCP Professional Data Engineer,E-commerce,Full-time,"Boston, MA",Startup,128897,Yes
17,ML Engineer,Senior,12,PhD,"Docker, Visualization, Model Deployment, Machine Learning, Communication, Cloud (AWS/GCP/Azure), CI/CD, APIs","TensorFlow, Kubernetes, FastAPI",,Finance,Remote,"Denver, CO",Startup,174168,Yes
18,AI Researcher,Senior,11,Bachelor's,"Scikit-learn, Algorithm Design, Publications, Deep Learning, Python, Mathematics, Statistics",Overleaf,,Healthcare,Full-time,"Chicago, IL",Large,209795,No
19,Data Scientist,Mid,4,PhD,"Scikit-learn, Statistics, Pandas, Storytelling, Python, A/B Testing, Feature Engineering, Machine Learning","scikit-learn, Jupyter",AWS ML Specialty,Tech,Full-time,Washington DC,Mid-size,138705,No
20,AI Product Manager,Mid,4,Master's,"Data Analysis, Pandas, User Research, Communication, Stakeholder Management","Tableau, Figma",CSPO,SaaS,Full-time,"Los Angeles, CA",Mid-size,111120,Hybrid
21,Data Engineer,Entry,1,Bachelor's,"Excel, Data Warehousing, SQL, Kafka, ETL",Kafka,Databricks Associate,E-commerce,Contract,"Bangalore, India",Mid-size,87818,Yes
22,Data Analyst,Senior,14,PhD,"Visualization, Tableau, Reporting, Cloud (AWS/GCP/Azure), Data Cleaning, Power BI",Power BI,Tableau Desktop Specialist,E-commerce,Full-time,Remote,Large,143081,Yes
23,ML Engineer,Mid,3,PhD,"Machine Learning, NumPy, Kubernetes, Cloud (AWS/GCP/Azure), APIs, Docker, Model Deployment, Visualization",Docker,,Automotive,Full-time,"Amsterdam, Netherlands",Mid-size,140534,No
24,Data Analyst,Mid,6,Bachelor's,"Machine Learning, Statistics, SQL, Tableau, Visualization, Excel","Tableau, Excel, Looker",Tableau Desktop Specialist,Healthcare,Full-time,"Amsterdam, Netherlands",Mid-size,100484,No
25,Computer Vision Engineer,Entry,1,Master's,"CNNs, Machine Learning, TensorFlow, CUDA, Image Processing, Object Detection",Roboflow,AWS ML Specialty,Retail,Contract,"Denver, CO",Large,118389,Hybrid
26,Data Scientist,Senior,6,Bachelor's,"SQL, Storytelling, Problem Solving, Scikit-learn, Pandas","scikit-learn, Spark, MLflow",Google Professional ML Engineer,Finance,Part-time,"New York, NY",Large,85598,Yes
